tax_income_tax_year,tax_income_state_ut_code,tax_income_district_lgd_code,tax_income_pan_hash,tax_income_aadhaar_pan_linked_flag,tax_income_return_count,tax_income_total_income_inr,tax_income_taxable_income_inr,tax_income_total_tax_liability_inr,tax_income_effective_tax_rate_pct,tax_income_tds_withheld_inr,tax_income_self_assessment_paid_inr,tax_income_refund_amount_total_inr,tax_income_capital_gains_net_inr,tax_income_house_property_income_inr,tax_income_business_profession_income_inr,tax_income_tax_regime_code,tax_income_audit_selection_rate_pct,tax_income_processing_time_days_median,tax_income_data_extract_date
2021,CG,053788,506b21e00fa423ea542c4eda4b521dfe1e20a7249720caa1f531aa41bca4113a,0,5765,937110,736284,168818,22.93,124161,17957,0,159039,76440,20517,NEW,1.26,53,2024-12-24
2022,MZ,172898,2a7969f93a89dc2746be4402f4ba24119a3068f6cd5e7fba9baf17cfca3a6661,1,193832,2735521,2581706,642441,24.88,413969,132455,0,332697,13684,384238,OLD,1.31,103,2025-06-06
2019,TN,235875,f8da72c4c455f9ac6ceca185f8263093cea3eed32a28f799871add6d60bf1536,1,124218,1629078,1445564,212054,14.67,196665,13019,0,301108,175942,363606,OLD,1.5,97,2026-01-24
2020,MN,152656,6c2491b8b0ff24ffc6cfe825afe44081615305eb85209829240fc9d9d87901fa,1,111018,3245219,2345737,130197,5.55,91506,18548,0,560433,-76880,1237258,NEW,4.76,3,2025-06-26
2019,CG,059662,c5a431c1b7ae5fa618dfd2b225d4b84978dcb1b3069b077d511e4f1d0604c376,1,23335,3599948,3303285,964226,29.19,515537,123149,0,675311,48249,747193,NEW,4.4,111,2024-08-25
2025,HR,082993,870cb7d4b0ff74ec87e67dcf99d20b2ea62994fe3ed5b43f02ed2dab91722668,1,198665,3356140,2515757,530681,21.09,417545,30027,0,138342,218217,439496,NEW,1.69,105,2025-09-24
2023,DH,315219,0e0cdc94d1c6dc86d74531907d991ee1e8aaabe6deba1807d744222b3ef941fb,1,144027,3553022,3000054,873111,29.1,551235,182286,0,286126,417508,855818,OLD,0.95,119,2024-07-06
2024,LD,351229,b6c3d21aad187a49bdacd41bd2689f2aea86400e2a174cda6ec828e6dd7e2ba3,1,44324,1966759,1363451,269427,19.76,265868,1036,0,130289,223656,262881,OLD,0.27,76,2024-10-30
2024,WB,289097,c18d1d7741648325f69bfbc878cc8e58295ad02d906bffd3181827bd1b82ffe8,1,73373,1184974,750950,109213,14.54,47797,20792,0,132441,308340,292386,OLD,4.13,84,2025-05-24
2025,BR,049118,0031441ea586f2bbc1dc093cf5decbb043ff64dd060b730033545a78ca7b4733,1,69398,5147224,3524779,151976,4.31,164479,0,12503,598252,57830,1597889,NEW,3.28,34,2024-12-20
2018,CH,307936,c985d744ea109ccca49db99256f41f15a9a77ebd3cd5228b6b5312db38db833a,1,174257,2498836,2314722,294584,12.73,226557,30359,0,416872,-87480,596852,OLD,4.24,20,2025-11-02
2025,TR,253516,8ab4189cb6a8ea662d7bc11916180bcd01bb87230900ac0833b3f805720e8b9d,1,95644,1364945,1331642,254632,19.12,105100,69694,0,194370,94430,374453,OLD,4.28,13,2024-07-11
2018,OD,190587,26e3af1010dfc8596c59d88084c0cca8508d169c09600965ae0fa0d95c507a6f,1,174667,5972987,3962982,1180352,29.78,598072,306232,0,865896,273944,104066,NEW,5.08,23,2025-05-18
2021,GA,067109,bd157b680a66d50a618f2751ad2d14a7f71bd30d97865aa92815d13cdbd16e31,1,137895,342067,212459,56382,26.54,65197,0,8815,54130,-94005,101409,NEW,2.55,116,2024-07-06
2022,PY,364290,98645ab14e0ce1c477f74f7084f9cfd88b25819c33c2781aa5a75a6d88402b2f,1,74249,2176374,1263527,207477,16.42,172124,20784,0,148477,373655,949669,NEW,4.98,35,2025-04-11
2020,ML,169903,996a742af547b2a0c02a809b2db144723c4578fa2ac9dc5e5d3f27f6d5e79351,1,81740,4487729,3922914,562377,14.34,570720,0,8343,253704,48599,992865,NEW,2.67,6,2026-01-05
2019,AR,026983,e03dea0a4fe6f52fb115985f8f39775005ed644b15dcbccf607078afbc131739,1,162186,2553602,1984251,59527,3.0,65850,0,6323,137376,271962,922408,NEW,4.28,83,2026-02-03
2019,HR,085386,c14a71bb42bc795ba14a5745e1d3d895db974dd44e26d8fd0ed076a5c73284d1,1,100400,5077535,4006800,450285,11.24,295496,79198,0,989418,383083,1254188,OLD,3.35,24,2025-08-21
2024,MN,159867,7544d0f090c8ca927bebfacfcb165dd9f9f265dd6199fcef83fd77d8dd8fdf31,1,136546,2249563,1280988,402258,31.4,336904,54382,0,54699,228521,712660,NEW,5.54,62,2025-05-14
2020,AS,038004,fcd03de56a6e501b649eee5103a477921010085accfaf44faa3ea0bcd446a95d,1,25449,3910007,2286785,542261,23.71,499020,24101,0,308981,-22363,545291,NEW,2.28,81,2024-12-22
2020,KL,124583,60ca6dd171f160633c23f9441f244b24d26dcc1576561c2624cd210cb22f26ed,1,85886,2651001,2500657,419909,16.79,450674,0,30765,185750,25726,1153421,OLD,4.17,70,2024-09-04
2025,MZ,170188,8681a8cde017bbfbd0160862bd06be78df617ba2657edba530e26170a531dbf5,1,115806,2893329,2308859,637097,27.59,468948,124202,0,428158,146789,280118,OLD,3.63,91,2024-01-31
2019,LD,350927,80d32fe5990d1e73c0cf60fe9bb690fe860c73e668c0669583183e063087dbd9,1,69304,3062882,1973288,59198,3.0,68752,0,9554,707672,438043,219283,OLD,5.99,5,2025-02-03
2025,BR,044437,6367296d9de56fc50b777fb305f62f5141adb4a413a1b522a8e29802fd8123e6,1,169717,5854951,3742533,1146860,30.64,1015769,127116,0,1286032,265790,119944,OLD,0.56,34,2025-08-07
2025,RJ,215620,84cdd0fb1d703c7e8c010c698c80f16f17314c6fc067870af45dbe83a1528b7b,1,42850,4595410,3003506,672466,22.39,739105,0,66639,121074,231431,1119146,OLD,3.63,50,2025-10-19
2022,JK,330301,d1ff50349b14b7934804400670e5781199dc29266ecf3a7ed7e2d8dbf49b6239,1,170043,2318947,1338996,40169,3.0,18746,2231,0,313179,337642,645839,OLD,1.47,89,2026-01-16
2019,CH,301265,06815fc6dc8ab8682e4cd70ec295ef935dd48d045a5adc7c087289bf3799a08d,0,13578,2587229,1478337,333764,22.58,257223,32251,0,24059,-39378,756207,NEW,5.32,66,2024-05-23
2019,LA,347042,192aee71d5ae1214e3613dabf6116efe2d7555e2c10b703b5955d9bc4b55a8ba,1,86016,2524502,2170046,65101,3.0,35371,21183,0,500107,-73745,195659,OLD,4.79,92,2025-12-30
2020,GJ,077515,72dc3f6329dcd489c0e81b31aaf3a6b64621fc4c2ffebabbaba61148a555cf3d,1,103954,4456338,2956403,605090,20.47,683453,0,78363,417467,212513,1306360,NEW,4.0,89,2024-08-06
2022,AN,290298,7729b0dae3c885471e552a1733521106401e78374aecb899478e2d885c8034f9,1,51464,3608009,2580880,248495,9.63,146112,26760,0,193808,217346,268067,NEW,2.93,96,2025-07-16
2019,PY,365076,0aa01d19fc9e5e78ac4196e899cda3908cec51bf0c5527b23ff7053638b7efe2,1,108468,3276423,2559102,173685,6.79,168541,4754,0,396530,26732,1113154,OLD,4.12,74,2025-08-09
2021,KL,120809,32ccfbcaf34982ec9a606c2e8a8425b14b520eecd2ba16ba1a4c52f20503467c,1,180291,2667997,1834588,368726,20.1,166035,72199,0,290213,237555,330458,NEW,3.37,91,2025-05-24
2018,NL,187234,8cdc4431f5ca9dbe35fa25cea6c0bb0d6d057f117a6e1f36f1c463fdbb2a4e7b,1,89359,2480885,1875246,260458,13.89,146032,18212,0,584948,-32746,471171,NEW,1.8,82,2024-11-26
2022,PB,208340,fbe23822e3971788844d65f352158bce2c6f057e8326317581e331f2189e378a,0,108271,3398495,3133258,93997,3.0,61650,3182,0,28196,-7493,561608,NEW,4.93,6,2024-04-05
2018,NL,188693,2cbbd05a512cd904a70cfc23c6c111fecc5bf2afed642784f1fea51ddac2b4ff,0,190168,5012410,3282941,863905,26.31,885933,0,22028,1190427,389539,829430,NEW,3.12,35,2025-01-29
2023,KA,115981,9f37eaeebcc80a2e8d2fc296cee85fb3d8329dd4de1c190ce488104bdf9b59ca,1,184817,5804397,5167316,440044,8.52,264437,98012,0,340095,-102417,1883088,NEW,1.62,107,2024-03-08
2018,LD,356289,11af9d1b0e399f6c44c978dc23452757f1ed1589851ffad28adf121be564cb05,1,3724,506612,336136,66496,19.78,70054,0,3558,18368,197934,227467,NEW,4.02,13,2025-05-08
2019,LD,359265,b75b810979e63da1f43053bf6dab6e90e1e2c2c496a48ec60493c5953b8df8e5,0,145481,1539367,970397,189222,19.5,195066,0,5844,285484,361289,365289,NEW,0.21,68,2024-07-27
2019,MH,146124,52f7a7f923623c0bc9150cb8189e54b3d0a72bc9636dfdc0d3b771023c5c2bbf,0,170210,4158377,2417028,72510,3.0,86559,0,14049,543267,286395,750451,OLD,4.35,92,2024-06-01
2024,AN,294462,afc1aa58113dd5c7b30fb2b9cc8e8d3f7053adbd1641a14bcef6dae32946f905,0,188550,1019093,860325,274565,31.91,258561,3163,0,228187,130839,134688,NEW,2.87,53,2025-03-19
2018,MN,157545,9b1e89a95b3386bde566fa34b1f4c6de93690407b09402a4524ac9d379add0d8,0,160363,3721377,2705450,387559,14.33,352659,8160,0,504839,59220,1045763,NEW,3.84,24,2024-07-14
2021,AN,295908,3489adaed00d95f68e04ca147f140a9bcadbec714ae8d675059373f1ffe79b88,1,17459,2627774,2315814,152181,6.57,134106,7719,0,332063,-85356,533523,NEW,1.03,5,2025-12-19
2022,SK,228424,f1a5d042a6c55afbea240dfc510d207accca0b9d048a1b441a9e5a414c458da2,1,151991,1266152,768615,107421,13.98,52388,6660,0,65258,-49163,440337,NEW,4.34,80,2024-03-19
2022,MZ,175247,e69c8ec1c70925048eb77517b0f92ab82966be54bd85f909497fb6677b8c8ab0,1,169053,3098391,2507963,483986,19.3,392308,37576,0,735692,209476,845892,OLD,4.37,72,2025-11-16
2023,CG,058690,b41e620dddb2ff73590786f3ca63f677aaae3a6f45aff8a5faefa8c4031f8f3c,1,105458,3127969,1737850,52135,3.0,56367,0,4232,519626,181236,579814,NEW,4.48,83,2025-08-31
2024,TS,240448,eae3fad28ca707fcf7da87de001860e76ed97a4d5658a1d43d24f9876c64fc1e,0,5159,4322200,2811793,270052,9.6,112526,25780,0,650025,94840,1853597,OLD,2.86,22,2024-08-28
2021,KL,120364,dface8314d6b0c1ecb0dcf936bfd847f6fdc15a9579ada8bfd76f9e7040d2962,1,38880,4981554,4045760,694356,17.16,348097,317374,0,983926,46707,25251,NEW,3.88,57,2025-03-23
2024,HR,080990,9aaea9364f48a7c62562618c28bc800e39bf34131271de9f4ff42de8420079ea,1,55733,5737763,3294030,732040,22.22,644516,79756,0,145267,-74286,1780253,NEW,3.34,67,2024-10-15
2020,GJ,075561,4fc7c02f1c485e6373c9111612d668db5be152d5cd4fdd128e0d521decf1531f,0,172712,2718661,1936253,194124,10.03,209190,0,15066,588871,-49777,502561,NEW,1.48,101,2024-07-06
2025,PY,367089,0769fc490d7532edeb7840048b51c8d0ffff0482f2e1fbc6a314f41585f1f7f1,0,26033,4178721,3307520,427500,12.93,276107,130221,0,522844,43653,228700,OLD,0.24,25,2024-09-01
2022,BR,042162,e31785cf2b1d4d642af52a669176ac6cb2d71452855139250129da660bb5e438,1,149174,4755199,4103081,290469,7.08,318697,0,28228,953670,406526,198353,NEW,2.54,84,2024-09-25
2023,AN,291557,deb376cb3874adb2e144aa9bee3a9ce100f07244eb88f33f26dc3cf4664b4eec,0,36658,5924974,5056563,474168,9.38,317702,55817,0,1055579,66293,1731239,NEW,4.91,83,2025-02-21
2025,DL,328603,1d69b6e725f5087c8b9002dc44a000fa38d3f573b0c2423706733efbc17a23c0,0,166731,3953946,2426606,533742,22.0,412244,68251,0,446064,-54040,262929,OLD,2.0,72,2025-04-01
2024,AR,027505,5fdcf058ac0c6edc81809a1504d6ab6821b12f40251558a6fc22ca7defbcadf6,1,3253,1591081,926523,99993,10.79,116234,0,16241,306167,207695,612938,OLD,4.52,13,2025-09-28
2024,SK,226483,915e407a28f3d5b086b51b76115bb570a2df7a60acf6ae7f2b4fab95153e52f2,1,47921,2150677,1530925,136984,8.95,100556,18059,0,387493,-47888,300917,NEW,3.87,16,2025-03-25
2022,RJ,214883,4db775502ab3fef8cb9f820ebbccfc74e7b411ee31375596f016a073250315dc,0,21224,1372007,896670,85667,9.55,75351,8562,0,1276,109900,212289,NEW,2.18,73,2025-09-08
2018,MP,134202,9be8400d4cac31b953027e07aa2983360f30021758665e5575cff6dbc3857cc3,1,111320,1306797,890513,174581,19.6,200484,0,25903,231710,294946,388191,OLD,0.1,75,2025-12-25
2021,TR,250205,195fc768a48516c4e966510c8308dce5f65d36e832901320d9d99d16b91ee4ae,0,156425,1943228,1354951,243161,17.95,148694,36089,0,247173,-59015,192522,NEW,2.64,78,2025-11-28
2019,MN,151881,142d5b1efbc4aef79b96005eea409a858728ffe4e9561df9d6bd9ee1ead1446f,1,83775,3065303,2209428,287686,13.02,136233,100498,0,643308,406041,9709,OLD,2.42,93,2024-11-17
2025,ML,168969,e835f07e18ab9d9319f31ef7a8ea2a07a37e4c5d3c2284de603c6cead9ba58e1,1,107180,4754674,3675354,743675,20.23,867440,0,123765,962398,242141,953897,NEW,0.92,49,2025-02-14
2019,ML,163390,c86c64772695c5a075ee6e4b0c8c1a90dcd61e37ba63a00566405f22c348608a,1,128294,1853323,1026742,211194,20.57,179063,2168,0,79066,401181,440249,OLD,4.93,37,2025-09-26
2019,AN,297045,e017ac9d8b756b7bb1bbd6a69cb9bc823063b05781ceb72562d1cb154836ea3b,1,91541,1241111,841648,25249,3.0,29608,0,4359,6751,295415,249032,OLD,5.74,110,2025-06-01
2019,TN,237037,102fd29667186e0a34362838bd41f3987be10f93869471c8f13b58af5e85d5a3,1,150768,890250,590839,64105,10.85,70092,0,5987,43694,430534,183477,OLD,0.82,84,2024-04-12
2023,MH,143094,af607fc99ac0dd37b8375d8417189dfc6d0c0a2f3e8d41859f7e993d5e726c98,1,57478,1297711,845557,66099,7.82,57882,7863,0,240441,169162,388771,NEW,1.46,64,2026-01-20
2022,LA,342043,aeb86f6e94c7937ffeab720a3e3b09c3d4b074a8eeab38cc407f703c259dd047,1,35569,2681840,2384440,632637,26.53,491604,76990,0,584206,-110702,1020600,OLD,3.83,68,2025-08-26
2025,AN,296916,e11f46f213297bb44964448164ce8204f7af48f3f08004f7c84d4b46edd36c66,1,38287,2558654,1683743,148404,8.81,116378,4152,0,448131,-83891,420841,NEW,5.71,90,2025-06-15
2021,LA,340935,469f5955a966c4aa5a6874194b5d8b34718ec95b3437136ebddec6db6d58c97b,1,35633,2483232,1526976,155041,10.15,82607,44341,0,509427,-15543,882893,NEW,5.61,39,2026-02-17
2020,UP,274948,bdfc25986692a78ac5c8029505b9563d17ddc7b316bd6927d88d46c3c30a520f,1,8514,2007634,1839565,316574,17.21,241498,37569,0,294741,-61162,56630,NEW,5.59,55,2024-05-11
2018,MN,158880,737adfb4e8c8cf5f535b4dbda1a2de25ab7ac6bc9a1437e9afc9b41ea51a5aa8,1,9677,2801452,2002099,350703,17.52,370828,0,20125,354748,340479,605442,NEW,2.7,8,2025-11-27
2018,WB,287113,6d87ffd9898b9fed90520f78d27ba5c3f66c98e98fcf202716b0142080357ada,1,11491,3931896,2473691,641951,25.95,764583,0,122632,953842,418448,665545,NEW,5.92,95,2024-09-14
2020,KL,127642,02ca49599d422ee7f3f9069c7a1680ecaede106d29d42eda2744c94e144fcc03,1,32279,410443,358324,44481,12.41,51965,0,7484,8269,234347,86058,OLD,2.25,61,2025-10-01
2025,JH,100832,738b813a8e15588bf9b99bc51f6894e64713317698cbe605d9a3814d02d18c35,1,127191,5357477,4460554,401327,9.0,469449,0,68122,564348,-12062,220540,OLD,0.61,107,2024-02-29
2022,MZ,171997,6a41e1c5e8c52bf4281f31978e6a2742d235a5b748f8734e1291afd18ea38a78,1,48794,1937865,1853526,360766,19.46,149793,202464,0,134709,438104,121064,NEW,4.26,37,2025-03-13
2025,LD,352750,df332db12c6bf412a7c8bd1a7a8a144d40b985780443d480f3a30f68ecfcbe77,1,117326,961164,891433,207748,23.3,168819,6200,0,29327,55271,126937,NEW,3.38,51,2024-03-27
2018,RJ,212923,8a2716ee627ad88ac4af2c93d49274e0318bc36455874c9cd949782a9d6aba45,0,15431,1171974,994485,315879,31.76,176925,36,0,177430,382845,144257,NEW,4.82,9,2026-01-16
2018,MH,141940,c74b15a5f4ef0a002dc82d2e3617212023959b0de0cf0971e0047d7bdcab0d6a,1,160299,3348516,2073488,410251,19.79,366037,18891,0,220374,271882,580275,OLD,3.76,116,2025-01-22
2024,MZ,179720,2ca5ccad31ab7d33e2bc34031e560c6c625fb3a8d04f0842646658f9eb2dbd67,1,71782,3196400,2422129,380358,15.7,439948,0,59590,369954,129567,657712,OLD,4.94,43,2025-11-03
2018,KA,111649,0f3495c3abc14d8e1c408a456693a90c7bd0900131b95f15b38a45ce890b58e0,1,88795,667144,401006,17075,4.26,18805,0,1730,22781,331346,66399,NEW,2.13,20,2025-08-04
2018,TS,247081,e43c3e054c5d3a8db8251db38f26082d308bcd236a333996f1b2a48c1ce7acb6,1,135358,3070446,2414111,762413,31.58,833520,0,71107,299358,258440,855577,NEW,1.8,74,2025-01-15
2021,MP,135867,426c9859c633a83899b550ed6806f7bafece8a2416b23f841aac1e3a20ba6bdd,0,199513,1445736,1365088,299223,21.92,207234,17034,0,72378,399280,244502,NEW,4.57,102,2024-05-28
2025,PB,206105,bfadf1ef48ac62da8aabd849d3928b681733e672d2de655b4b983db8c544248f,1,158821,5480002,3023009,159631,5.28,127854,31311,0,1228804,226390,148293,NEW,3.04,16,2025-01-02
2023,MH,142146,3508fab14f061c613d66494837e7dbd5160740ffc17213bc504e5136dd35483f,1,80866,1958244,1814678,266933,14.71,166981,33256,0,255744,105255,214747,NEW,1.16,64,2024-09-08
2018,KL,123076,74a0b5efede74e38ffd4b59708799fb3957aab89ab85d280b638e91c8dac7981,0,69817,5996907,4689022,840726,17.93,708802,54713,0,1198697,-66023,1511618,NEW,2.31,58,2024-07-18
2024,LD,356064,5a575e7d02eb473152bc36aaffa94ee82b123de7a6c0098899a776d335bf9bc7,1,68379,3537752,2175849,151005,6.94,97052,15875,0,429594,445606,966141,NEW,4.82,19,2024-09-21
2024,MP,132991,e8234a1143ce9b17a3a58f4ce8e065e0d14bf14ed803ca66f2b9a733f54e4581,1,17681,5791683,5316893,1246248,23.44,1304802,0,58554,61369,324757,2084122,NEW,5.55,35,2024-06-29
2024,AS,036941,946ddb6be0ba818ba47b4a0c79fb940a501816a744b74903692e1b4368335dd4,1,68224,3396042,2651851,551871,20.81,425788,24811,0,589683,-60783,375145,OLD,4.59,76,2025-10-23
2025,MH,140395,477094a08a8da2a0f50d7294aa8732eb411ee382b971af0e2394e071d851e7f6,1,152115,887008,658790,49276,7.48,47320,249,0,10604,225885,224410,OLD,4.34,118,2025-12-16
2019,PB,200728,783d3e7bba131e2852208f64545095555f086cd6d3a1570f47a11f7c7792a3ff,0,55968,3911937,2992157,947682,31.67,1040681,0,92999,386343,351124,838122,NEW,4.89,18,2024-05-24
2025,BR,047284,e42a3889b2aced55a98a93f9b3000d2282a24a7a96829e0de32996f085189215,1,78845,2944349,1805974,548246,30.36,350767,36209,0,402595,278934,1124246,OLD,1.28,76,2024-06-16
2020,KL,126167,b1ba92582457962216f5e14368bab14eb09a062d66464f9c11fb0ea8dfb3ebc6,1,14765,4940602,2956838,251232,8.5,225524,22055,0,963205,35100,1622969,OLD,3.52,106,2024-01-27
2024,GA,060431,a4d9bfcd0f23e97647c98d273c789afbf0c4c0b0513b4ce0dc8ee091015a1a28,1,51034,2439579,2035753,287814,14.14,309875,0,22061,548051,-41248,144895,NEW,3.61,91,2024-11-25
2022,OD,198990,f6763f9f01198e931dcc51928d44c460d8770a00ebbfcddeaae3894884d78b78,1,14670,1245294,1156351,331100,28.63,384270,0,53170,63763,414141,537280,NEW,5.68,98,2025-05-05
2024,UP,270048,1f88c41a5c761fee288888b7472ba8aee04b7c51c402a2409c508875b5f57e02,1,94667,814635,691313,89880,13.0,47677,2960,0,135142,91097,130216,OLD,0.19,110,2024-07-26
2023,LD,359555,a9f39e6602026d7a9a3b7ee7a186e54c88a6de5ae35b13232c974a66cdb494b7,1,60098,4498787,4100813,1252972,30.55,1184229,66242,0,528864,375441,1932526,NEW,5.83,79,2025-02-18
2023,MN,157294,ce74063cdbab28c5a6741af05bda087a29d65f4784648120160da8533a6ab7aa,1,194002,1512231,1381047,88567,6.41,66263,6685,0,290165,145338,194094,OLD,4.38,7,2024-09-21
2022,DL,329881,adaca13f3d17706fe11f1e50016146f7ce58a9ed215cc32576bb38e31f518bdb,1,118358,4052072,2284466,529281,23.17,332609,11530,0,952078,314494,855078,OLD,0.23,30,2024-01-03
2024,HR,089488,fdb8a4f693e8465980e2cf542816f820e5550f1c2321cb5fb8ffd2c19b35be5f,1,75155,936665,825680,158400,19.18,83347,57406,0,124802,18485,232020,OLD,3.16,51,2024-07-06
2023,AN,293131,88ad6dbf5c9050e68fda52398ab13f1097e68ff2f5dcbd98e675ce02efb7ac6d,1,107975,616309,543584,60217,11.08,52286,1415,0,44184,224136,17636,NEW,0.51,115,2025-08-24
2019,RJ,217565,9c044688ba98eda544f411060de264d594593a50b9227b39d36afd93c6c5a372,1,191931,4306294,3016516,692874,22.97,462334,80945,0,859653,199353,1386839,NEW,3.66,27,2025-11-25
2024,WB,282109,d3238621b24b4c23560e615676ebb42c8cb450b0b599780a6d58e19915cc71cf,1,36922,2166467,1573364,47200,3.0,44101,1842,0,285288,2240,102083,NEW,2.76,102,2024-11-29
2022,WB,284716,88d88812408a661ea51b6e7fa3333ab36e60fbdb3416885e36111e881deee7f1,1,51380,3468619,3019643,223086,7.39,139383,5743,0,765071,268171,256238,NEW,4.66,77,2025-04-01
2020,PB,202401,1d28f005fc8f3fba7999e9b4136ee8f5daf3ea9db644ec62f5c11f973e1c7e04,1,109523,312041,303996,25418,8.36,10179,3077,0,44159,143297,40755,OLD,3.52,86,2025-03-07
2022,JH,104860,9446cb1989dc1b1e0bde785944bf5c46ffddf8ff27be3992f3dcca5ec5cb7146,1,22003,1250254,1218703,45811,3.76,46442,0,631,292910,252506,540529,OLD,4.74,15,2024-08-26
2025,OD,198723,ecf6258dd97f01e02485157449c6c6950c8323ef727d168cd244ac0eaa53231e,1,104420,677578,510726,5550,1.09,2936,1102,0,2970,-100173,296712,OLD,2.28,45,2025-06-11
2024,CH,304361,7014602b448ccc5a0ac21f78bf1d0146bb4d061fb0de28897e78bd713ca0c4a7,1,32278,1787119,1589654,179540,11.29,108083,39842,0,330151,-49926,393510,NEW,5.16,57,2024-11-16
2024,LD,350923,a4ae542a5fd72f63242888f16d05254a8f871e36ba41f87190d02a36f3f28ee3,0,172959,1810152,1358349,94877,6.98,55814,28462,0,156821,284360,434426,NEW,5.21,59,2024-02-10
2021,LA,343246,37c512b2d30b14be5999376a6f1dcd7b32c711aaf2adc4ba08c794649dfea51e,0,154982,2340832,2159095,91799,4.25,61853,10570,0,391281,447693,223150,NEW,3.97,105,2024-10-30
2024,GJ,077865,f39f09c516fdcf49bfd1f6ad8cb194b5930d02d56b52cc908edb05455153587f,1,10678,1572229,1303979,65641,5.03,51743,5620,0,370396,-53949,295765,OLD,1.66,42,2024-05-15
2021,SK,225217,02f833bf2b2694d035750d3e611c9330d6f861bd4383ccc8ae72348dc3ab8931,0,107985,2821443,2688144,710759,26.44,746269,0,35510,461243,-105538,1249866,NEW,5.95,104,2025-01-11
2023,BR,045601,f9119366c68bbf8cac3e821116abeaa33bcc385aec8adbb0b93536874431f112,1,42783,5416016,5301268,160993,3.04,148141,4365,0,1008713,27224,1927324,NEW,4.92,102,2024-12-30
2023,TR,254311,a24d8bd4c3feec0e39a2a46160a9151197038cdf6d96c62ed11437a31d622dda,1,116802,653811,452424,104941,23.2,54233,2587,0,25833,-95666,205185,NEW,5.12,78,2025-01-03
2019,PY,362927,845254730ff5341da8a311ceadbe0b2e2c154c4c308da9aa1787c6c059aebe1f,0,109402,5378663,5223269,156698,3.0,85704,41185,0,229289,19678,673874,OLD,0.17,39,2024-05-15
2020,AR,025981,afcca3fc18e9f587da12a7c4b19501ccb61f96431c23520d3c6391991e706024,1,193573,2563525,2173306,65199,3.0,70261,0,5062,367498,274473,880254,OLD,4.97,14,2026-01-15
2018,TS,246330,4eabf3be8006b915bc13af2305233904cbb16342249ab1edc5f98b0e8f9289bc,1,36340,3530524,2303232,325948,14.15,195531,93415,0,380064,329130,1535598,NEW,1.38,30,2024-04-01
2019,LD,358981,d048786360727b395abee321f10d09e9c00c08f1d8ed9502ee4935a3b508e531,1,101462,4080593,2249786,274908,12.22,158057,4930,0,113390,239597,1814145,NEW,3.1,73,2024-08-18
2021,DH,316177,fd9d34a0e4346c7b11460befbee94b8d25da8183174c073201ad43e92f76adc4,1,193134,4449958,3755989,655944,17.46,264251,23452,0,810265,108369,1201072,NEW,4.26,28,2024-09-12
2021,MN,159950,f018dc3c69e8efe827a912c3d390af9a74660f21fb5d2a46ecfb69d228dc1497,0,24287,5671384,3661577,823290,22.48,839147,0,15857,991012,-31691,410207,OLD,2.52,108,2024-12-24
2019,BR,048265,aa91ab878272e42d0821973dc61d114c68eeb9f79941eca0663c437466c48988,0,51534,5997667,3895441,386191,9.91,382623,1564,0,137310,184688,2601977,NEW,1.54,49,2024-12-01
2021,LA,340787,f12e5cf998106cf7df345048ef416129437e6dac613d6ef610f7f5546d8bf670,1,143984,725626,571381,35545,6.22,24102,7936,0,8826,429988,176777,OLD,3.05,36,2026-02-16
2022,LA,343921,3c73334a6ba54877f9f7cb520313be93cccc0c4fa60e5c5bc2ac370ec3e2f37b,1,22513,2549627,1436200,377831,26.31,153343,155386,0,241458,-1088,43989,NEW,1.87,75,2025-10-30
2019,RJ,213846,a4d153cc8624640ae763c0e4a8584791270dda006c93af577f589c7e54dbc2c6,1,42362,3303422,2408322,127395,5.29,131020,0,3625,522712,189242,121148,OLD,3.73,21,2024-02-13
2020,PY,360030,bdccb0738470ea0c81beb3e3709097e34f3c861931c2270904aa2b5d5fb00d73,1,191473,3206188,2865468,732141,25.55,351055,134006,0,716236,70438,832858,NEW,0.75,100,2025-04-13
2020,AP,011807,48c63fd1cee22b313af557241ebe56ae546a9e50db50b95315debb1079c12bac,1,116726,5949352,3341881,627895,18.79,482458,8631,0,646256,83959,2236255,OLD,2.51,67,2025-02-09
2022,TN,237621,2ed1355a80760a1c693f30a90709b0c960d28ebff5570bca28066fe2dda2a93d,1,12168,3959227,3239815,300001,9.26,321636,0,21635,83245,171782,1677463,NEW,3.59,111,2026-01-01
2020,AR,023521,c5dbb410cac0e810910539db9096084477e94ac08f3ade4366cd5b83468072ae,0,171021,2504391,1547972,155668,10.06,92688,46015,0,526213,-23576,1064356,OLD,5.94,102,2024-09-25
2023,LA,341478,a408e7bca4adde536e52e9e50add0b20a496013dddc4707f5778d4fce6e08b7b,0,105180,5535265,5098094,604641,11.86,425507,12202,0,172838,-9304,1441252,OLD,3.02,12,2024-12-25
2020,TR,252874,6129b597661d08e2fcb50317de2e1ce814a496c3657ba81876ab603b03f67345,0,95939,4425585,3177549,601019,18.91,558157,3572,0,705207,-96618,1954489,NEW,2.61,108,2025-12-31
2021,JK,332747,b46c3ca0f07c9f4ad104794ca8c5db175ce8b03688b4cc096b9c67f654d5eeec,1,198489,4812546,4327502,1356587,31.35,1273197,39746,0,497440,273193,323972,OLD,5.94,8,2025-01-06
